book,passage,headword,pos,meaning_zh,definition_zh,synonyms,pos_variations,confusables,example_en,pronunciation,tags
C5,Johnson’s Dictionary,Circumscribe,v.,限制、約束、劃定界線,字根 circum- 意為「環繞」，scribe 意為「寫/畫」。指在周圍劃一條線以「限制、約束」某事物的範圍（原文指中產階級渴望劃定並征服不同的世界 circumscribe the various worlds to conquer）。,Restrict / Confine (v.) 限制、侷限 | Limit (v.) 限制 | Boundary (n. 對應概念) 邊界,Circumscription (n.) 限制、劃定界線,雅思高頻字字首字根大對決（都是 scribe 家族） | Circumscribe (v.) 限制、約束 | Prescribe (v. 還記得嗎？) 規定、開處方（字首 pre- 在前） | Describe (v.) 描述、描寫 | Subscribe (v.) 訂閱、同意,The power of the monarch was strictly circumscribed by the new constitution.,,
C5,Johnson’s Dictionary,Settle,v.,解決（爭端）、定居、確定,【雅思多義字高頻考點！】 日常生活中指「定居」。但在學術與商務中，指「解決、平息（爭議、衝突或問題）」（原文指強森博士認為他不需要科學院來解決語言爭端 settle arguments about language）。,Resolve (v. 還記得嗎？) 解決、消除（歧見） | Conciliate (v. 高級字) 調解、安撫 | Conclude (v.) 結束、達成協議,Settlement (n.) 協議、定居點（在法律和人資上常指「和解協議、還款計畫」）,,The HR business partner managed to settle the dispute between the two departments.,,
C5,Johnson’s Dictionary,Instalments / Installments,n. pl.,分期付款 / （連載、連環劇的）一集,"指將一筆龐大的金額拆分成若干次、在不同時間點固定支付的「分期付款」（原文指強森博士獲得 1,575 英鎊的分期酬勞 paid in instalments）。",Partial payments (n. pl.) 部分付款 | Staggered payments (n. pl. 高級字) 錯開付款、分期付款,,,She decided to pay for her master's tuition fee in monthly instalments.,,
C5,Johnson’s Dictionary,Synthesis,n.,綜合、合成、融合體,學術寫作的核心高階字。指將不同的觀點、事實、物質或元素「有機地結合、融入為一個全新的整體」（原文形容這本詞典是英雄史詩般的集大成之作 a work of heroic synthesis）。,Combination (n.) 結合、組合 | Integration (n. 還記得嗎？) 整合、一體化 | Amalgamation (n. 高級學術字) 合併、混合,Synthesize (v.) 綜合、合成（寫作高階動詞，如 synthesize different theories 綜合不同理論） | Synthetic (adj.) 人造的、合成的（例：synthetic fibers 合成纖維）,,Her thesis presents a brilliant synthesis of traditional and modern HR management methods.,,
C5,Johnson’s Dictionary,Precedent,n.,先例、前例、判例,法律與公共行政大字。指過去曾經發生過、可以作為後人處理類似事件之「參考依據或標準的先例」（原文指強森博士根據英國習慣法的原則——依循先例來撰寫定義 according to precedent）。,Previous example (n. phr.) 先前的例子 | Criterion (n. 單數形式) 標準、準則 | Benchmark (n.) 基準、標竿,Precede (v. 還記得嗎？) 在……之前發生、先於 | Unprecedented (adj. ⚠️寫作頂級形容詞！) 史無前例的、空前的,易混淆單字 | President (n. 拼法極像！) 總統、總裁、校長,The judge's decision set an important precedent for future environmental protection cases.,,
C5,Johnson’s Dictionary,Rivalled / Rivaled,v. 過去式,與……匹敵、比得上（原形：rival）,指在品質、能力、成就或規模上非常優秀，以至於「可以與另一個人或物相提並論、不相上下」（原文指詞典出版後，一個多世紀以來都沒有受到認真的對手挑戰 was not seriously rivalled）。,Matched (v. 原文也用了這個字喔！) 匹敵、相配 | Competed with (phr. v.) 與……競爭 | Equalled (v.) 等同、比得上,Rival (n.) 競爭對手 / (adj.) 競爭的 | Unrivalled (adj. 高階形容詞) 無雙的、無與倫比的,,The natural beauty of National Kaohsiung University's campus is rivalled by few others.,,
C5,Johnson’s Dictionary,Perpetual,adj.,永恆的、長期的、不間斷的,形容某事將會「永遠持續存在、永不終結」，或頻繁重複到讓人覺得沒有盡頭。,Everlasting / Eternal (adj.) 永恆的、永久的 | Permanent (adj. 還記得嗎？) 永久的、固定的 | Continuous (adj.) 持續不斷的,Perpetuate (v. 高級學術字) 使永恆、使不朽（通常指使不好的制度、觀念延續下去） | Perpetually (adv.) 永恆地、常常,,This noble work will remain a perpetual monument of fame to the author.,,
C5,Johnson’s Dictionary,Cornerstone,n.,基石、奠基石,原本指建築物基座最關鍵的那塊角落石頭。引申為某個理論、政策、制度或學術領域中「最核心、最不可或缺的基礎或依據」（原文形容這本詞典是標準英語的基石 the cornerstone of Standard English）。,Foundation (n.) 基礎、地基 | Core / Pillar (n.) 核心 / 支柱 | Bedrock (n. 頂級學術換詞) 岩床、根基,,,Trust and cross-cultural communication are the cornerstones of a successful global internship. Single-handed / Single-handedly (adj./adv.)：獨力地、單槍匹馬地。 雅思點：聽力與口說中，用來形容某人沒有靠外部幫助、全憑一己之力完成宏偉目標。 Shades of meaning (n. phr.)：含義的細微差別、字義的陰影 解析：Shade 在這裡指細微的差異、色調的深淺。用來形容語言中字詞精妙的同義替換。 Vicissitudes (n. pl. 殿堂級學術大字)：盛衰興敗、人生的波折、變遷。 原文：“After many vicissitudes the Dictionary was finally published...”（歷經無數波折後，這本詞典終於出版了。） Conferred stability on... (v. phr.)：賦予……穩定性。 解析：【學術頂級動詞搭配！】 Confer 在雅思中常搭配 on，意為「授予、賦予（權力、榮譽、穩定性或好處）」。 Prevail upon (phr. v. 高級正式字)：說服、勸說（某人做某事）。 例句：His friends were able to prevail upon the King to offer him a pension.（他的朋友們成功說服了國王為他提供年金。）,,
C5,Johnson’s Dictionary,Chaos,n.,混亂、無秩序狀態,形容一種完全沒有條理、規則、法律或控制，導致人事物極度混亂、失控的狀態。在雅思中常考「亂中求序」或「環境/社會陷入混亂」的語境。,Disorder (n.) 混亂、無秩序 | Turmoil (n. 高級字) 騷動、混亂（常指政治或情緒上的混亂） | Anarchy (n. 高級字) 無政府狀態、無法無天,Chaotic (adj.) 混亂的、無秩序的（例：a chaotic traffic system 混亂的交通系統）,易混淆單字 | Chasm (n. 高級字) 峽谷 / 巨大的分歧,The new management system successfully brought order to the chaos of the department.,,
C5,Johnson’s Dictionary,Compiled,v. 過去式,編纂、彙編、收集（原形：compile）,指耗費大量時間與精力，將來自不同書籍、報告、數據庫或來源的資訊，經過有系統的整理、篩選後「匯集成一本新書、一份報告或一個清單」。,Assembled (v.) 聚集、收集、組裝 | Accumulated (v.) 累積、積聚 | Gathered (v.) 收集、聚集,Compilation (n.) 編輯物、精選輯、彙編 | Compiler (n.) 編纂者 / 【電腦】編譯器,,The research assistant compiled data from various academic journals to support the thesis.,,
